date,India,France,Africa,US,China,UK,Red Cross,GOP,WHO,UN,left wing,right wing,communist,socialist,republican(US),democrat(US),labour(UK),conservative(UK),ICU,vaccination,maoist,christian,muslim,islamic,ministry of justice,ministry of health,senate,congress,woman,rebel,native,prime minister,chief,mayor,Xi Jinping,Donald Trump,Joe Biden,Emmanuel Macron,Narendra Modi,Vladimir Putin,global health,public health,one health,decolonization in health policy,decolonization
201501,0.311111111,0.171875,0.324324324,0.025,0.03030303,0.333333333,0.153846154,0.186813187,0.160714286,0.285714286,0.333333333,0.222222222,0.267857143,0.058823529,0.043010753,0.043010753,0.053763441,0.050632911,0.037974684,0.020408163,0.196078431,0.538461538,0.727272727,0.333333333,0.604651163,0,0.010638298,0.24137931,0.36,0.142857143,0.054794521,0.111111111,0.333333333,0.133333333,0.030612245,0.005025126,0.005025126,0.005025126,0.092783505,0.051546392,0.211267606,0.123287671,0.056818182,0,0.229152067
201502,0.244444444,0.0625,0.297297297,0.0375,0.03030303,0.285714286,0.153846154,0.142857143,0.196428571,0.404761905,0.166666667,0.111111111,0.285714286,0.117647059,0.032258065,0.032258065,0.064516129,0.063291139,0.050632911,0.040816327,0.117647059,0.807692308,0.545454545,0.444444444,0.558139535,0,0.021276596,0.275862069,0.28,0.142857143,0.068493151,0.111111111,0.5,0.2,0.030612245,0.005025126,0.005025126,0.015075377,0.072164948,0.092783505,0.183098592,0.150684932,0.068181818,1,0.467414156
201503,0.244444444,0.09375,0.351351351,0.0375,0,0.285714286,0.153846154,0.142857143,0.142857143,0.357142857,0.166666667,0.111111111,0.357142857,0.176470588,0.043010753,0.043010753,0.107526882,0.113924051,0.075949367,0.020408163,0.039215686,0.653846154,0.454545455,0.333333333,0.697674419,0,0.042553191,0.379310345,0.22,0.142857143,0.095890411,0.111111111,0.333333333,0.266666667,0.030612245,0.005025126,0.005025126,0.025125628,0.041237113,0.144329897,0.183098592,0.164383562,0.136363636,1,0.569726699
201504,0.266666667,0.03125,0.243243243,0.0375,0.045454545,0.19047619,0.230769231,0.153846154,0.160714286,0.404761905,0.333333333,0.222222222,0.446428571,0.176470588,0.053763441,0.053763441,0.344086022,0.329113924,0.101265823,0.020408163,0.117647059,0.5,0.363636364,0.333333333,0.488372093,0,0.031914894,0.206896552,0.3,0.142857143,0.123287671,0.111111111,0.333333333,0.333333333,0.040816327,0.005025126,0,0.005025126,0.051546392,0.06185567,0.14084507,0.150684932,0.102272727,1,0.448493343
201505,0.377777778,0.03125,0.135135135,0.025,0.015151515,0.285714286,0.230769231,0.153846154,0.214285714,0.357142857,0.5,0.333333333,0.446428571,0.235294118,0.043010753,0.043010753,0.752688172,0.911392405,0.063291139,0.020408163,0.274509804,0.5,0.454545455,0.333333333,0.488372093,0,0.021276596,0.137931034,0.26,0.285714286,0.123287671,0.111111111,0.166666667,0.2,0.030612245,0.005025126,0.005025126,0.005025126,0.072164948,0.041237113,0.112676056,0.123287671,0.079545455,1,0.466713385
201506,0.333333333,0.0625,0.108108108,0.0375,0.03030303,0.238095238,0.230769231,0.175824176,0.089285714,0.261904762,0.166666667,0.111111111,0.160714286,0.117647059,0.064516129,0.064516129,0.086021505,0.037974684,0.063291139,0.020408163,0.098039216,0.5,0.727272727,0.555555556,0.651162791,0,0.021276596,0.068965517,0.3,0.285714286,0.068493151,0.111111111,0.166666667,0.2,0.020408163,0.035175879,0.015075377,0.005025126,0.072164948,0.030927835,0.042253521,0.136986301,0.136363636,1,0.451296426
201507,0.355555556,0.25,0.081081081,0.0625,0.045454545,0.285714286,0.153846154,0.186813187,0.071428571,0.19047619,0.166666667,0.222222222,0.071428571,0.176470588,0.096774194,0.096774194,0.161290323,0.025316456,0.063291139,0.020408163,0.058823529,0.692307692,0.636363636,0.444444444,0.697674419,0,0,0.068965517,0.36,0.285714286,0.01369863,0.111111111,0.333333333,0.133333333,0.020408163,0.065326633,0,0.005025126,0.06185567,0.020618557,0.070422535,0.109589041,0.113636364,1,0.409250175
201508,0.422222222,0,0.27027027,0.025,0.136363636,0.19047619,0.076923077,0.604395604,0.107142857,0.142857143,0.166666667,0.111111111,0.107142857,0.352941176,0.451612903,0.451612903,0.301075269,0.025316456,0.063291139,0.020408163,0.019607843,0.538461538,0.272727273,0.222222222,0.511627907,0,0,0.068965517,0.26,0.142857143,0.082191781,0.111111111,0.333333333,0.133333333,0.020408163,0.095477387,0.015075377,0.005025126,0.082474227,0.020618557,0.084507042,0.150684932,0.102272727,0,0.395234758
201509,0.4,0.046875,0.324324324,0.05,0.075757576,0.19047619,0.153846154,0.450549451,0.25,0.666666667,0.5,0.333333333,0.267857143,0.411764706,0.35483871,0.35483871,0.494623656,0.101265823,0.063291139,0.020408163,0.039215686,0.5,0.545454545,0.333333333,0.558139535,0,0.021276596,0.379310345,0.24,0.142857143,0.191780822,0.222222222,0.333333333,0.2,0.163265306,0.075376884,0.015075377,0.005025126,0.113402062,0.06185567,0.211267606,0.191780822,0.090909091,0,0.388927821
201510,0.266666667,0.046875,0.432432432,0.0375,0.060606061,0.238095238,0.076923077,0.373626374,0.178571429,0.619047619,0.333333333,0.222222222,0.339285714,0.470588235,0.311827957,0.311827957,0.064516129,0.227848101,0.075949367,0.020408163,0.098039216,0.423076923,0.454545455,0.444444444,0.465116279,0,0.031914894,0.310344828,0.26,0.142857143,0.246575342,0.333333333,0.333333333,0.266666667,0.112244898,0.045226131,0.025125628,0.005025126,0.06185567,0.072164948,0.183098592,0.164383562,0.102272727,1,0.443587947
201511,0.2,0.328125,0.108108108,0.025,0.03030303,0.333333333,0.076923077,0.384615385,0.285714286,0.476190476,0.333333333,0.222222222,0.339285714,0.235294118,0.290322581,0.290322581,0.064516129,0.050632911,0.088607595,0.020408163,0.098039216,0.576923077,0.818181818,0.555555556,0.465116279,0,0.021276596,0.24137931,0.24,0.285714286,0.260273973,0.222222222,0.5,0.4,0.091836735,0.055276382,0,0.015075377,0.092783505,0.134020619,0.211267606,0.150684932,0.125,1,0.344779257
201512,0.222222222,0.046875,0.351351351,0,0.045454545,0.238095238,0.076923077,0.450549451,0.232142857,0.214285714,0.166666667,0.222222222,0.214285714,0.176470588,0.290322581,0.290322581,0.053763441,0.037974684,0.025316456,0,0.137254902,0.461538462,0.818181818,0.444444444,0.279069767,0,0.010638298,0.137931034,0.2,0.428571429,0.054794521,0.111111111,0.166666667,0.2,0.030612245,0.105527638,0,0.005025126,0.072164948,0.103092784,0.098591549,0.068493151,0.102272727,0,0.292922214
